TITLE	GENRE
A Boy and His Dog (1975)	Sci-Fi
A Boy and His Dog (1975)	Thriller
A Brand New Psycho (2003)	Animation
A Brand New Psycho (2003)	Fantasy
A Brand New Psycho (2003)	Short
A Cabin in Time (2008)	Drama
A Cadaver Christmas (2011)	Comedy
A Cadaver Christmas (2011)	Horror
A Christmas Carol (1908)	Drama
A Christmas Carol (1908)	Fantasy
A Christmas Carol (1908)	Short
A Christmas Carol (1910)	Drama
A Christmas Carol (1910)	Fantasy
A Christmas Carol (1910)	Short
A Christmas Carol (1938)	Drama
A Christmas Carol (1938)	Fantasy
A Christmas Carol (1947) (TV)	Drama
A Christmas Carol (1947) (TV)	Fantasy
A Christmas Carol (1971) (TV)	Animation
A Christmas Carol (1971) (TV)	Drama
A Christmas Carol (1971) (TV)	Family
A Christmas Carol (1971) (TV)	Fantasy
A Christmas Carol (1971) (TV)	Short
A Christmas Carol (1977) (TV)	Drama
A Christmas Carol (1977) (TV)	Fantasy
A Christmas Carol (1982/II) (TV)	Animation
A Christmas Carol (1984) (TV)	Comedy
A Christmas Carol (1984) (TV)	Drama
A Christmas Carol (1984) (TV)	Family
A Christmas Carol (1984) (TV)	Fantasy
A Christmas Carol (1997) (V)	Animation
A Christmas Carol (1997) (V)	Drama
A Christmas Carol (1997) (V)	Fantasy
A Christmas Carol (1999) (TV)	Drama
A Christmas Carol (1999) (TV)	Fantasy
A Christmas Carol (2000) (TV)	Drama
A Christmas Carol (2000) (TV)	Family
A Christmas Carol (2000) (TV)	Fantasy
A Christmas Carol (2000) (TV)	Horror
A Christmas Carol (2009)	Animation
A Christmas Carol (2009)	Comedy
A Christmas Carol (2009)	Drama
A Christmas Carol (2009)	Family
A Christmas Carol (2009)	Fantasy
A Christmas Carol (2012)	Drama
A Christmas Wish (2005)	Drama
A Christmas Wish (2005)	Short
A Chump at Oxford (1940)	Comedy
A Claymation Christmas Celebration (1987) (TV)	Animation
A Claymation Christmas Celebration (1987) (TV)	Musical
A Claymation Christmas Celebration (1987) (TV)	Short
A Cosmic Christmas (1977) (TV)	Animation
A Cosmic Christmas (1977) (TV)	Family
A Cosmic Christmas (1977) (TV)	Sci-Fi
A Cosmic Christmas (1977) (TV)	Short
A Dairy Tale (2004) (V)	Animation
A Dairy Tale (2004) (V)	Comedy
A Dairy Tale (2004) (V)	Short
A Date with the Dead (2006)	Comedy
A Date with the Dead (2006)	Romance
A Date with the Dead (2006)	Short
A Dinosaur Love Story (2010)	Short
A Diva's Christmas Carol (2000) (TV)	Comedy
A Diva's Christmas Carol (2000) (TV)	Drama
A Diva's Christmas Carol (2000) (TV)	Fantasy
A Diva's Christmas Carol (2000) (TV)	Musical
A Diva's Christmas Carol (2000) (TV)	Romance
A Dread of Red (2010)	Comedy
A Dread of Red (2010)	Drama
A Dread of Red (2010)	Horror
A Dread of Red (2010)	Short
A Family Circus Christmas (1979) (TV)	Animation
A Family Circus Christmas (1979) (TV)	Comedy
A Family Circus Christmas (1979) (TV)	Family
A Family Circus Christmas (1979) (TV)	Fantasy
A Feast of Flesh (2007)	Horror
A Few Brains More (2012)	Horror
A Flat (2010)	Drama
A Flat (2010)	Horror
A Flat (2010)	Romance
A Flat (2010)	Thriller
A Flintstones Christmas Carol (1994) (TV)	Animation
A Flintstones Christmas Carol (1994) (TV)	Comedy
A Flintstones Christmas Carol (1994) (TV)	Family
A Friend of the Devil (2012)	Comedy
A Friend of the Devil (2012)	Fantasy
A Friend of the Devil (2012)	History
A Friend of the Devil (2012)	Short
A Genesis Found (2010)	Adventure
A Genesis Found (2010)	Mystery
A Gentlemen's Duel (2006)	Action
A Gentlemen's Duel (2006)	Animation
A Gentlemen's Duel (2006)	Comedy
A Gentlemen's Duel (2006)	Sci-Fi
A Gentlemen's Duel (2006)	Short
A Ghost Fisher (2011)	Comedy
A Ghost Fisher (2011)	Fantasy
A Ghost Fisher (2011)	Horror
A Ghost Fisher (2011)	Short
A Ghost Fisher (2011)	Thriller
A Ghost Story (2007)	Drama
A Ghost Story (2007)	Short
A Ghost of a Chance (1968)	Drama
A Ghost of a Chance (1968)	Family
A Goofy Movie (1995)	Adventure
A Goofy Movie (1995)	Animation
A Goofy Movie (1995)	Comedy
A Goofy Movie (1995)	Family
A Goofy Movie (1995)	Musical
A Goofy Movie (1995)	Romance
A Grand Day Out with Wallace and Gromit (1989)	Adventure
A Grand Day Out with Wallace and Gromit (1989)	Animation
A Grand Day Out with Wallace and Gromit (1989)	Comedy
A Grand Day Out with Wallace and Gromit (1989)	Family
A Grand Day Out with Wallace and Gromit (1989)	Short
A Guy Named Joe (1943)	Drama
A Guy Named Joe (1943)	Fantasy
A Guy Named Joe (1943)	Romance
A Guy Named Joe (1943)	War
A Haunting Harmony (1993) (TV)	Drama
A Haunting Harmony (1993) (TV)	Fantasy
A Haunting We Will Go (1939)	Animation
A Haunting We Will Go (1939)	Short
A Haunting in Salem (2011) (V)	Horror
A Home at the End of the World (2004)	Drama
A Home at the End of the World (2004)	Romance
